Vernier Format 2
pol28.txt 4/5/2022 17:50:39
Run 1
Time	Potential	Potential	Current	
T	P	P	C	
s	V	V	A	

0	1.573	1.558	0.0009	
1	1.578	1.572	0.0000	
2	1.569	1.553	0.0000	
3	1.578	1.577	-0.0003	
4	1.569	1.558	-0.0003	
5	1.578	1.572	-0.0003	
6	1.569	1.572	0.0000	
7	1.573	1.558	0.0000	
8	1.569	1.558	-0.0003	
9	1.578	1.572	0.0000	
10	1.569	1.558	0.0000	
11	1.569	1.553	0.0000	
12	1.578	1.567	0.0000	
13	1.583	1.572	-0.0003	
14	0.053	1.572	0.1679	
15	0.155	1.572	0.6252	
16	0.180	1.572	0.6261	
17	0.131	1.474	0.6261	
18	0.131	1.459	0.6261	
19	0.141	1.454	0.6261	
20	0.141	1.445	0.6261	
21	0.146	0.020	0.6261	
22	0.146	0.099	0.6261	
23	0.155	0.109	0.6261	
24	0.141	0.114	0.6261	
25	0.150	0.099	0.6261	
26	0.146	0.094	0.6261	
27	0.160	0.104	0.6261	
28	0.155	0.089	0.6261	
29	0.160	0.094	0.6261	
30	0.160	0.099	0.6261	
31	0.165	0.099	0.6261	
32	0.150	0.094	0.6261	
33	0.160	0.085	0.6261	
34	0.155	0.089	0.6261	
35	0.160	0.074	0.6261	
36	0.165	0.085	0.6261	
37	0.165	0.080	0.6261	
38	0.160	0.074	0.6261	
39	0.160	0.074	0.6261	
40	0.155	0.070	0.6261	
41	0.160	0.074	0.6261	
42	0.160	0.074	0.6261	
43	0.146	0.065	0.6261	
44	0.160	0.070	0.6261	
45	0.150	0.060	0.6261	
46	0.155	0.065	0.6261	
47	0.150	0.060	0.6261	
48	0.146	0.065	0.6261	
49	0.160	0.060	0.6261	
50	0.146	0.045	0.6261	
51	0.150	0.060	0.6261	
52	0.146	0.040	0.6261	
53	0.150	0.055	0.6261	
54	0.146	0.055	0.6261	
55	0.150	0.055	0.6261	
56	0.146	0.045	0.6261	
57	0.131	0.050	0.6261	
58	0.131	0.035	0.6261	
59	0.146	0.040	0.6261	
60	0.146	0.045	0.6261	
61	0.141	0.045	0.6261	
62	0.126	0.040	0.6261	
63	0.141	0.040	0.6261	
64	0.146	0.040	0.6261	
65	0.131	0.040	0.6261	
66	0.141	0.035	0.6261	
67	0.136	0.040	0.6261	
68	0.126	0.026	0.6261	
69	0.146	0.035	0.6261	
70	0.126	0.040	0.6261	
71	0.141	0.040	0.6261	
72	0.131	0.026	0.6261	
73	0.131	0.040	0.6261	
74	0.131	0.031	0.6261	
75	0.126	0.020	0.6261	
76	0.121	0.026	0.6261	
77	0.121	0.026	0.6261	
78	0.126	0.035	0.6261	
79	0.131	0.035	0.6261	
80	0.121	0.031	0.6261	
81	0.131	0.026	0.6261	
82	0.116	0.035	0.6261	
83	0.126	0.026	0.6261	
84	0.126	0.035	0.6261	
85	0.116	0.026	0.6261	
86	0.126	0.016	0.6261	
87	0.121	0.031	0.6261	
88	0.136	0.026	0.6261	
89	0.126	0.020	0.6261	
90	0.131	0.040	0.6261	
91	0.131	0.031	0.6261	
92	0.131	0.035	0.6261	
93	0.126	0.026	0.6261	
94	0.131	0.035	0.6261	
95	0.131	0.040	0.6261	
96	0.116	0.040	0.6261	
97	0.131	0.035	0.6261	
98	0.131	0.040	0.6261	
99	0.131	0.045	0.6261	
100	0.121	0.045	0.6261	
101	0.126	0.031	0.6261	
102	0.141	0.040	0.6261	
103	0.141	0.045	0.6261	
104	0.131	0.040	0.6261	
105	0.146	0.060	0.6261	
106	0.136	0.040	0.6261	
107	0.146	0.055	0.6261	
108	0.146	0.045	0.6261	
109	0.170	0.074	0.6261	
110	0.664	0.104	-0.0003	
111	0.684	0.094	-0.0003	
Vernier Format 2
pol28.txt 4/5/2022 17:50:39
Run 2
Time	Potential	Potential	Current	
T	P	P	C	
s	V	V	A	

0	1.446	1.243	0.0006	
1	1.461	1.258	-0.0003	
2	1.451	1.258	0.0000	
3	1.451	1.243	0.0000	
4	1.451	1.258	-0.0003	
5	1.461	1.258	0.0000	
6	1.461	1.258	0.0000	
7	1.451	1.253	0.0000	
8	1.456	1.243	0.0000	
9	1.451	1.243	-0.0003	
10	1.451	1.253	0.0000	
11	1.456	1.263	0.0000	
12	1.461	1.263	-0.0003	
13	1.456	1.253	0.0000	
14	1.461	1.248	0.0000	
15	1.461	1.263	0.0000	
16	1.461	1.258	0.0000	
17	0.434	1.253	0.1766	
18	0.684	1.258	0.2716	
19	0.776	1.258	0.3044	
20	0.815	1.258	0.3187	
21	0.830	1.263	0.3262	
22	0.830	1.263	0.3302	
23	0.845	1.243	0.3327	
24	0.855	1.253	0.3339	
25	0.850	1.253	0.3346	
26	0.865	1.224	0.3352	
27	0.860	0.418	0.3352	
28	0.850	0.453	0.3355	
29	0.855	0.620	0.3352	
30	0.855	0.713	0.3352	
31	0.850	0.767	0.3355	
32	0.850	0.806	0.3355	
33	0.865	0.831	0.3355	
34	0.855	0.831	0.3352	
35	0.860	0.846	0.3349	
36	0.865	0.851	0.3352	
37	0.860	0.851	0.3349	
38	0.855	0.851	0.3349	
39	0.850	0.851	0.3349	
40	0.850	0.846	0.3349	
41	0.865	0.851	0.3346	
42	0.845	0.846	0.3343	
43	0.855	0.846	0.3339	
44	0.860	0.851	0.3333	
45	0.860	0.846	0.3333	
46	0.855	0.846	0.3330	
47	0.860	0.836	0.3324	
48	0.855	0.836	0.3321	
49	0.850	0.836	0.3318	
50	0.840	0.821	0.3315	
51	0.850	0.826	0.3311	
52	0.830	0.826	0.3302	
53	0.850	0.826	0.3302	
54	0.835	0.806	0.3293	
55	0.845	0.821	0.3287	
56	0.835	0.801	0.3287	
57	0.835	0.806	0.3277	
58	0.830	0.797	0.3274	
59	0.840	0.811	0.3265	
60	0.825	0.797	0.3262	
61	0.820	0.797	0.3255	
62	0.830	0.797	0.3249	
63	0.825	0.782	0.3243	
64	0.830	0.792	0.3240	
65	0.830	0.787	0.3234	
66	0.825	0.777	0.3227	
67	0.825	0.772	0.3218	
68	0.820	0.772	0.3212	
69	0.820	0.772	0.3212	
70	0.820	0.772	0.3202	
71	0.825	0.767	0.3199	
72	0.820	0.772	0.3190	
73	0.815	0.757	0.3184	
74	0.815	0.767	0.3177	
75	0.801	0.757	0.3174	
76	0.811	0.752	0.3165	
77	0.796	0.757	0.3156	
78	0.806	0.747	0.3149	
79	0.791	0.742	0.3143	
80	0.806	0.747	0.3137	
81	0.806	0.747	0.3128	
82	0.806	0.747	0.3125	
83	0.796	0.738	0.3115	
84	0.796	0.738	0.3112	
85	0.796	0.742	0.3103	
86	0.791	0.733	0.3097	
87	0.791	0.733	0.3090	
88	0.781	0.728	0.3084	
89	0.791	0.728	0.3078	
90	0.781	0.713	0.3069	
91	0.786	0.723	0.3065	
92	0.786	0.718	0.3056	
93	0.781	0.718	0.3053	
94	0.776	0.708	0.3050	
95	0.767	0.703	0.3044	
96	0.771	0.703	0.3034	
97	0.771	0.703	0.3028	
98	0.771	0.708	0.3022	
99	0.771	0.708	0.3012	
100	0.771	0.708	0.3009	
101	0.767	0.698	0.3000	
102	0.752	0.698	0.3000	
103	0.771	0.698	0.2991	
104	0.767	0.693	0.2981	
105	0.752	0.684	0.2978	
106	0.757	0.688	0.2969	
107	0.752	0.688	0.2966	
108	0.757	0.688	0.2959	
109	0.752	0.698	0.2953	
110	0.747	0.684	0.2950	
111	0.757	0.688	0.2944	
112	0.747	0.674	0.2938	
113	0.747	0.688	0.2931	
114	0.747	0.674	0.2925	
115	0.737	0.674	0.2919	
116	0.742	0.674	0.2916	
117	0.747	0.674	0.2906	
118	0.737	0.674	0.2903	
119	0.747	0.674	0.2897	
120	0.747	0.679	0.2891	
121	0.732	0.674	0.2888	
122	0.732	0.664	0.2878	
123	0.737	0.674	0.2875	
124	0.728	0.659	0.2869	
125	0.723	0.669	0.2866	
126	0.732	0.664	0.2863	
127	0.718	0.664	0.2854	
128	0.728	0.669	0.2850	
129	0.723	0.654	0.2844	
130	0.713	0.654	0.2838	
131	0.713	0.649	0.2832	
132	0.713	0.649	0.2829	
133	0.708	0.649	0.2822	
134	0.723	0.654	0.2816	
135	0.713	0.649	0.2813	
136	0.723	0.654	0.2810	
137	0.708	0.649	0.2804	
138	0.713	0.654	0.2798	
139	0.708	0.639	0.2794	
140	0.718	0.654	0.2788	
141	0.708	0.644	0.2782	
142	0.703	0.644	0.2779	
143	0.713	0.644	0.2769	
144	0.713	0.644	0.2769	
145	0.708	0.649	0.2760	
146	0.698	0.639	0.2760	
147	0.703	0.644	0.2751	
148	0.703	0.630	0.2744	
149	0.708	0.644	0.2741	
150	0.708	0.639	0.2738	
151	0.703	0.634	0.2735	
152	0.698	0.634	0.2726	
153	0.703	0.634	0.2726	
154	0.698	0.634	0.2719	
155	0.698	0.639	0.2713	
156	0.703	0.630	0.2710	
157	0.693	0.630	0.2707	
158	0.693	0.634	0.2701	
159	0.693	0.630	0.2701	
160	0.693	0.630	0.2695	
161	0.688	0.630	0.2691	
162	0.679	0.615	0.2688	
163	0.693	0.630	0.2685	
164	0.684	0.630	0.2682	
165	0.688	0.630	0.2676	
166	0.688	0.630	0.2670	
167	0.684	0.630	0.2670	
168	0.684	0.630	0.2663	
169	0.669	0.625	0.2660	
170	0.669	0.610	0.2657	
171	0.679	0.620	0.2654	
172	0.674	0.625	0.2648	
173	0.679	0.615	0.2645	
174	0.669	0.620	0.2642	
175	0.669	0.610	0.2639	
176	0.674	0.620	0.2632	
177	0.679	0.615	0.2629	
178	0.659	0.620	0.2626	
179	0.674	0.620	0.2623	
180	0.659	0.610	0.2620	
181	0.669	0.615	0.2614	
182	0.674	0.620	0.2611	
183	0.669	0.605	0.2611	
184	0.654	0.610	0.2604	
185	0.664	0.615	0.2601	
186	0.674	0.610	0.2598	
187	0.654	0.600	0.2595	
188	0.654	0.600	0.2589	
189	0.649	0.605	0.2589	
190	0.664	0.610	0.2583	
191	0.649	0.600	0.2583	
192	0.654	0.610	0.2576	
193	0.654	0.610	0.2573	
194	0.659	0.610	0.2570	
195	0.649	0.610	0.2564	
196	0.649	0.590	0.2564	
197	0.659	0.610	0.2561	
198	0.649	0.590	0.2561	
199	0.659	0.610	0.2555	
200	0.649	0.585	0.2551	
201	0.654	0.605	0.2545	
202	0.649	0.585	0.2545	
203	0.630	0.605	0.2542	
204	0.649	0.605	0.2539	
205	0.645	0.590	0.2536	
206	0.649	0.600	0.2533	
207	0.649	0.600	0.2533	
208	0.649	0.585	0.2526	
209	0.640	0.585	0.2523	
210	0.620	0.600	0.2517	
211	0.649	0.600	0.2520	
212	0.649	0.595	0.2517	
213	0.645	0.600	0.2514	
214	0.649	0.595	0.2511	
215	0.645	0.600	0.2505	
216	0.630	0.580	0.2501	
217	0.625	0.585	0.2501	
218	0.640	0.590	0.2495	
219	0.640	0.600	0.2495	
220	0.640	0.590	0.2492	
221	0.630	0.600	0.2489	
222	0.640	0.590	0.2486	
223	0.640	0.590	0.2486	
224	0.615	0.590	0.2480	
225	0.625	0.576	0.2477	
226	0.630	0.590	0.2477	
227	0.620	0.590	0.2473	
228	0.615	0.576	0.2470	
229	0.630	0.590	0.2470	
230	0.610	0.590	0.2464	
231	0.615	0.576	0.2464	
232	0.620	0.576	0.2461	
233	0.630	0.585	0.2461	
234	0.620	0.585	0.2455	
235	0.615	0.576	0.2452	
236	0.620	0.585	0.2452	
237	0.620	0.576	0.2448	
238	0.615	0.571	0.2445	
239	0.615	0.580	0.2442	
240	0.615	0.576	0.2439	
241	0.610	0.571	0.2439	
242	0.605	0.580	0.2433	
243	0.615	0.580	0.2433	
244	0.615	0.585	0.2430	
245	0.615	0.576	0.2427	
246	0.600	0.580	0.2424	
247	0.600	0.565	0.2424	
248	0.595	0.580	0.2420	
249	0.610	0.571	0.2420	
250	0.615	0.580	0.2414	
251	0.605	0.571	0.2414	
252	0.600	0.576	0.2411	
253	0.615	0.576	0.2411	
254	0.610	0.576	0.2408	
255	0.610	0.576	0.2408	
256	0.610	0.580	0.2405	
257	0.610	0.576	0.2402	
258	0.605	0.571	0.2402	
259	0.600	0.565	0.2396	
260	0.595	0.571	0.2399	
261	0.595	0.576	0.2389	
262	0.605	0.576	0.2392	
263	0.605	0.576	0.2389	
264	0.605	0.576	0.2386	
265	0.610	0.571	0.2389	
266	0.605	0.576	0.2386	
267	0.605	0.576	0.2380	
268	0.605	0.576	0.2380	
269	0.600	0.576	0.2377	
270	0.600	0.576	0.2377	
271	0.595	0.571	0.2374	
272	0.591	0.576	0.2364	
273	0.591	0.556	0.2361	
274	0.586	0.561	0.2361	
275	0.600	0.576	0.2355	
276	0.591	0.561	0.2358	
277	0.595	0.571	0.2355	
278	0.591	0.556	0.2355	
279	0.595	0.565	0.2352	
280	0.595	0.576	0.2349	
281	0.581	0.571	0.2343	
282	0.595	0.565	0.2343	
283	0.591	0.571	0.2343	
284	0.586	0.556	0.2343	
285	0.595	0.571	0.2340	
286	0.591	0.565	0.2340	
287	0.586	0.556	0.2337	
288	0.591	0.565	0.2333	
289	0.591	0.571	0.2330	
290	0.581	0.556	0.2330	
291	0.591	0.571	0.2327	
292	0.591	0.571	0.2327	
293	0.595	0.565	0.2324	
294	0.591	0.561	0.2324	
295	0.586	0.551	0.2327	
296	0.586	0.571	0.2321	
297	0.576	0.556	0.2321	
298	0.591	0.571	0.2318	
299	0.586	0.561	0.2315	
300	0.576	0.556	0.2315	
301	0.581	0.556	0.2315	
302	0.576	0.556	0.2312	
303	0.581	0.565	0.2312	
304	0.571	0.565	0.2305	
305	0.571	0.561	0.2308	
306	0.571	0.565	0.2305	
307	0.576	0.556	0.2305	
308	0.576	0.551	0.2302	
309	0.586	0.561	0.2305	
310	0.586	0.561	0.2302	
311	0.586	0.561	0.2299	
312	0.576	0.561	0.2293	
313	0.576	0.551	0.2296	
314	0.581	0.565	0.2296	
315	0.571	0.551	0.2290	
316	0.586	0.561	0.2293	
317	0.566	0.556	0.2293	
318	0.576	0.561	0.2290	
319	0.576	0.561	0.2287	
320	0.576	0.556	0.2287	
321	0.576	0.556	0.2283	
322	0.576	0.556	0.2287	
323	0.571	0.551	0.2283	
324	0.571	0.561	0.2280	
325	0.576	0.565	0.2277	
326	0.576	0.551	0.2277	
327	0.566	0.546	0.2277	
328	0.571	0.546	0.2277	
329	0.571	0.546	0.2274	
330	0.571	0.551	0.2271	
331	0.566	0.556	0.2271	
332	0.571	0.551	0.2268	
333	0.576	0.556	0.2268	
334	0.576	0.561	0.2268	
335	0.566	0.556	0.2268	
336	0.571	0.561	0.2268	
337	0.571	0.561	0.2265	
338	0.561	0.561	0.2258	
339	0.561	0.556	0.2262	
340	0.571	0.556	0.2262	
341	0.571	0.556	0.2255	
342	0.561	0.556	0.2255	
343	0.571	0.551	0.2255	
344	0.571	0.556	0.2255	
345	0.556	0.551	0.2252	
346	0.571	0.546	0.2252	
347	0.571	0.546	0.2252	
348	0.576	0.556	0.2252	
349	0.556	0.556	0.2246	
350	0.571	0.556	0.2246	
351	0.556	0.556	0.2246	
352	0.571	0.556	0.2246	
353	0.561	0.541	0.2243	
354	0.571	0.556	0.2243	
355	0.561	0.551	0.2243	
356	0.566	0.556	0.2243	
357	0.561	0.546	0.2240	
358	0.556	0.551	0.2237	
359	0.566	0.556	0.2240	
360	0.571	0.561	0.2237	
361	0.571	0.556	0.2237	
362	0.566	0.551	0.2234	
363	0.561	0.546	0.2234	
364	0.556	0.546	0.2234	
365	0.561	0.546	0.2230	
366	0.561	0.546	0.2230	
367	0.561	0.546	0.2227	
368	0.556	0.541	0.2227	
369	0.551	0.541	0.2227	
370	0.551	0.551	0.2227	
371	0.566	0.556	0.2227	
372	0.561	0.556	0.2224	
373	0.561	0.541	0.2221	
374	0.561	0.546	0.2221	
375	0.561	0.541	0.2218	
376	0.561	0.546	0.2221	
377	0.566	0.551	0.2218	
378	0.561	0.546	0.2218	
379	0.561	0.556	0.2218	
380	0.551	0.551	0.2215	
381	0.561	0.541	0.2215	
382	0.561	0.551	0.2215	
383	0.561	0.556	0.2215	
384	0.547	0.546	0.2215	
385	0.561	0.546	0.2212	
386	0.551	0.546	0.2206	
387	0.561	0.546	0.2209	
388	0.551	0.551	0.2206	
389	0.556	0.541	0.2206	
390	0.551	0.546	0.2206	
391	0.561	0.546	0.2206	
392	0.551	0.536	0.2206	
393	0.556	0.551	0.2202	
394	0.556	0.546	0.2199	
395	0.547	0.546	0.2202	
396	0.556	0.551	0.2199	
397	0.556	0.551	0.2196	
398	0.556	0.541	0.2196	
399	0.551	0.536	0.2196	
400	0.551	0.541	0.2196	
401	0.551	0.536	0.2196	
402	0.551	0.536	0.2193	
403	0.547	0.531	0.2193	
404	0.542	0.546	0.2190	
405	0.547	0.551	0.2190	
406	0.542	0.546	0.2190	
407	0.556	0.541	0.2190	
408	0.551	0.541	0.2187	
409	0.556	0.546	0.2187	
410	0.547	0.531	0.2187	
411	0.542	0.536	0.2184	
412	0.547	0.546	0.2181	
413	0.556	0.541	0.2187	
414	0.537	0.536	0.2181	
415	0.551	0.551	0.2181	
416	0.547	0.536	0.2181	
417	0.547	0.546	0.2178	
418	0.551	0.531	0.2178	
419	0.547	0.536	0.2178	
420	0.537	0.536	0.2178	
421	0.547	0.531	0.2174	
422	0.551	0.546	0.2178	
423	0.542	0.546	0.2171	
424	0.551	0.536	0.2171	
425	0.551	0.551	0.2171	
426	0.547	0.536	0.2171	
427	0.542	0.546	0.2168	
428	0.547	0.546	0.2168	
429	0.551	0.541	0.2168	
430	0.551	0.536	0.2168	
431	0.542	0.531	0.2165	
432	0.547	0.531	0.2162	
433	0.537	0.536	0.2165	
434	0.537	0.536	0.2162	
435	0.537	0.536	0.2162	
436	0.537	0.541	0.2159	
437	0.547	0.541	0.2159	
438	0.551	0.541	0.2159	
439	0.551	0.541	0.2156	
440	0.547	0.536	0.2156	
441	0.547	0.546	0.2156	
442	0.547	0.546	0.2156	
443	0.551	0.541	0.2156	
444	0.537	0.536	0.2156	
445	0.542	0.531	0.2153	
446	0.542	0.546	0.2153	
447	0.537	0.526	0.2153	
448	0.547	0.536	0.2150	
449	0.537	0.536	0.2150	
450	0.547	0.541	0.2146	
451	0.532	0.526	0.2146	
452	0.542	0.546	0.2143	
453	0.537	0.531	0.2143	
454	0.547	0.541	0.2143	
455	0.537	0.531	0.2143	
456	0.537	0.536	0.2143	
457	0.542	0.531	0.2140	
458	0.532	0.531	0.2140	
459	0.547	0.536	0.2140	
460	0.532	0.522	0.2137	
461	0.542	0.546	0.2137	
462	0.537	0.531	0.2137	
463	0.532	0.522	0.2137	
464	0.527	0.531	0.2137	
465	0.532	0.531	0.2134	
466	0.537	0.541	0.2131	
467	0.537	0.526	0.2128	
468	0.537	0.522	0.2128	
469	0.532	0.522	0.2128	
470	0.532	0.522	0.2128	
471	0.532	0.526	0.2128	
472	0.537	0.536	0.2128	
473	0.537	0.536	0.2128	
474	0.537	0.536	0.2125	
475	0.537	0.536	0.2125	
476	0.537	0.536	0.2118	
477	0.537	0.531	0.2122	
478	0.532	0.522	0.2122	
479	0.527	0.531	0.2118	
480	0.537	0.536	0.2118	
481	0.537	0.536	0.2118	
482	0.542	0.531	0.2115	
483	0.532	0.522	0.2115	
484	0.532	0.522	0.2115	
485	0.537	0.531	0.2115	
486	0.537	0.531	0.2115	
487	0.537	0.531	0.2112	
488	0.522	0.531	0.2112	
489	0.527	0.517	0.2112	
490	0.532	0.531	0.2109	
491	0.537	0.536	0.2106	
492	0.532	0.536	0.2106	
493	0.537	0.531	0.2106	
494	0.522	0.522	0.2106	
495	0.537	0.531	0.2106	
496	0.522	0.522	0.2106	
497	0.517	0.531	0.2103	
498	0.537	0.531	0.2103	
499	0.527	0.522	0.2103	
500	0.532	0.536	0.2103	
501	0.537	0.531	0.2100	
502	0.522	0.522	0.2100	
503	0.532	0.531	0.2100	
504	0.532	0.531	0.2097	
505	0.522	0.517	0.2097	
506	0.532	0.536	0.2097	
507	0.527	0.531	0.2094	
508	0.522	0.522	0.2094	
509	0.532	0.531	0.2094	
510	0.522	0.522	0.2094	
511	0.512	0.526	0.2094	
512	0.522	0.531	0.2090	
513	0.532	0.536	0.2090	
514	0.527	0.522	0.2090	
515	0.517	0.517	0.2087	
516	0.517	0.531	0.2084	
517	0.532	0.531	0.2087	
518	0.532	0.531	0.2087	
519	0.517	0.517	0.2084	
520	0.532	0.531	0.2084	
521	0.527	0.536	0.2081	
522	0.532	0.531	0.2081	
523	0.527	0.531	0.2081	
524	0.532	0.526	0.2081	
525	0.532	0.531	0.2078	
526	0.522	0.522	0.2081	
527	0.522	0.517	0.2078	
528	0.517	0.517	0.2078	
529	0.522	0.522	0.2078	
530	0.527	0.531	0.2078	
531	0.527	0.531	0.2078	
532	0.512	0.522	0.2072	
533	0.517	0.517	0.2072	
534	0.522	0.522	0.2075	
535	0.522	0.531	0.2075	
536	0.527	0.522	0.2072	
537	0.512	0.531	0.2072	
538	0.527	0.531	0.2069	
539	0.527	0.526	0.2069	
540	0.512	0.517	0.2069	
541	0.512	0.522	0.2069	
542	0.512	0.526	0.2069	
543	0.512	0.526	0.2065	
544	0.512	0.526	0.2065	
545	0.517	0.531	0.2065	
546	0.522	0.531	0.2065	
547	0.527	0.526	0.2065	
548	0.527	0.531	0.2059	
549	0.517	0.526	0.2062	
550	0.508	0.517	0.2065	
551	0.517	0.517	0.2062	
552	0.532	0.526	0.2062	
553	0.508	0.531	0.2062	
554	0.512	0.511	0.2059	
555	0.517	0.517	0.2056	
556	0.517	0.522	0.2056	
557	0.522	0.522	0.2056	
558	0.512	0.517	0.2056	
559	0.517	0.522	0.2056	
560	0.512	0.511	0.2053	
561	0.517	0.531	0.2053	
562	0.522	0.522	0.2053	
563	0.512	0.511	0.2053	
564	0.508	0.522	0.2047	
565	0.517	0.526	0.2050	
566	0.517	0.526	0.2050	
567	0.517	0.526	0.2047	
568	0.517	0.526	0.2047	
569	0.522	0.522	0.2047	
570	0.517	0.517	0.2047	
571	0.512	0.511	0.2047	
572	0.512	0.517	0.2044	
573	0.517	0.526	0.2044	
574	0.522	0.517	0.2044	
575	0.508	0.507	0.2044	
576	0.508	0.522	0.2037	
577	0.512	0.526	0.2040	
578	0.517	0.522	0.2040	
579	0.517	0.522	0.2040	
580	0.512	0.531	0.2037	
581	0.517	0.526	0.2037	
582	0.517	0.522	0.2037	
583	0.517	0.517	0.2037	
584	0.517	0.522	0.2037	
585	0.512	0.522	0.2034	
586	0.508	0.522	0.2031	
587	0.503	0.517	0.2034	
588	0.517	0.517	0.2031	
589	0.503	0.522	0.2031	
590	0.517	0.517	0.2028	
591	0.508	0.507	0.2028	
592	0.512	0.522	0.2028	
593	0.508	0.507	0.2028	
594	0.512	0.517	0.2028	
595	0.512	0.517	0.2028	
596	0.517	0.517	0.2028	
597	0.503	0.507	0.2028	
598	0.512	0.517	0.2025	
599	0.503	0.511	0.2022	
600	0.512	0.522	0.2022	
601	0.512	0.511	0.2022	
602	0.498	0.517	0.2022	
603	0.508	0.511	0.2019	
604	0.508	0.517	0.2019	
605	0.517	0.517	0.2019	
606	0.498	0.507	0.2019	
607	0.498	0.517	0.2015	
608	0.512	0.517	0.2015	
609	0.503	0.507	0.2015	
610	0.512	0.522	0.2015	
611	0.508	0.511	0.2015	
612	0.498	0.511	0.2015	
613	0.498	0.517	0.2012	
614	0.512	0.522	0.2012	
615	0.512	0.517	0.2012	
616	0.512	0.517	0.2012	
617	0.512	0.517	0.2012	
618	0.508	0.511	0.2009	
619	0.512	0.511	0.2006	
620	0.512	0.517	0.2006	
621	0.508	0.517	0.2009	
622	0.498	0.517	0.2006	
623	0.508	0.511	0.2006	
624	0.508	0.522	0.2006	
625	0.493	0.517	0.2006	
626	0.508	0.507	0.2003	
627	0.508	0.517	0.2003	
628	0.512	0.511	0.2003	
629	0.498	0.502	0.2000	
630	0.508	0.507	0.2000	
631	0.498	0.502	0.2000	
632	0.493	0.502	0.2000	
633	0.493	0.511	0.1997	
634	0.508	0.517	0.1997	
635	0.503	0.517	0.1997	
636	0.508	0.517	0.1997	
637	0.508	0.517	0.1994	
638	0.508	0.511	0.1994	
639	0.508	0.517	0.1994	
640	0.508	0.517	0.1991	
641	0.503	0.517	0.1994	
642	0.508	0.517	0.1991	
643	0.508	0.511	0.1991	
644	0.493	0.517	0.1991	
645	0.498	0.497	0.1991	
646	0.508	0.511	0.1987	
647	0.503	0.517	0.1987	
648	0.498	0.502	0.1987	
649	0.508	0.511	0.1987	
650	0.493	0.511	0.1984	
651	0.498	0.517	0.1984	
652	0.503	0.507	0.1984	
653	0.493	0.511	0.1984	
654	0.508	0.511	0.1981	
655	0.488	0.511	0.1981	
656	0.503	0.507	0.1981	
657	0.503	0.517	0.1978	
658	0.493	0.497	0.1978	
659	0.498	0.507	0.1978	
660	0.488	0.511	0.1978	
661	0.498	0.507	0.1978	
662	0.493	0.497	0.1975	
663	0.498	0.517	0.1978	
664	0.498	0.511	0.1975	
665	0.503	0.511	0.1975	
666	0.498	0.507	0.1972	
667	0.498	0.507	0.1972	
668	0.498	0.502	0.1972	
669	0.493	0.497	0.1969	
670	0.493	0.497	0.1966	
671	0.498	0.507	0.1963	
672	0.493	0.507	0.1966	
673	0.498	0.511	0.1963	
674	0.483	0.502	0.1963	
675	0.493	0.507	0.1963	
676	0.498	0.511	0.1963	
677	0.493	0.507	0.1956	
678	0.493	0.507	0.1959	
679	0.493	0.517	0.1959	
680	0.483	0.497	0.1956	
681	0.498	0.507	0.1956	
682	0.483	0.507	0.1956	
683	0.498	0.507	0.1956	
684	0.493	0.497	0.1956	
685	0.493	0.497	0.1953	
686	0.483	0.497	0.1953	
687	0.493	0.507	0.1953	
688	0.498	0.511	0.1953	
689	0.493	0.511	0.1950	
690	0.493	0.511	0.1947	
691	0.493	0.507	0.1950	
692	0.493	0.507	0.1947	
693	0.493	0.507	0.1947	
694	0.498	0.511	0.1947	
695	0.493	0.507	0.1947	
696	0.493	0.507	0.1944	
697	0.478	0.507	0.1944	
698	0.488	0.497	0.1944	
699	0.493	0.511	0.1944	
700	0.478	0.502	0.1944	
701	0.483	0.497	0.1941	
702	0.493	0.502	0.1941	
703	0.493	0.507	0.1941	
704	0.488	0.497	0.1941	
705	0.493	0.507	0.1941	
706	0.493	0.497	0.1938	
707	0.493	0.507	0.1938	
708	0.488	0.507	0.1938	
709	0.483	0.497	0.1938	
710	0.488	0.507	0.1935	
711	0.483	0.492	0.1931	
712	0.488	0.507	0.1931	
713	0.488	0.507	0.1931	
714	0.493	0.507	0.1931	
715	0.488	0.497	0.1928	
716	0.478	0.507	0.1928	
717	0.488	0.507	0.1928	
718	0.488	0.497	0.1928	
719	0.483	0.492	0.1928	
720	0.478	0.492	0.1928	
721	0.478	0.507	0.1925	
722	0.473	0.502	0.1928	
723	0.478	0.507	0.1922	
724	0.478	0.497	0.1928	
725	0.478	0.492	0.1925	
726	0.483	0.492	0.1922	
727	0.488	0.497	0.1922	
728	0.488	0.507	0.1922	
729	0.478	0.502	0.1919	
730	0.488	0.492	0.1919	
731	0.473	0.502	0.1919	
732	0.488	0.497	0.1919	
733	0.473	0.497	0.1919	
734	0.493	0.497	0.1916	
735	0.473	0.502	0.1919	
736	0.483	0.497	0.1916	
737	0.483	0.502	0.1916	
738	0.483	0.497	0.1913	
739	0.488	0.507	0.1913	
740	0.478	0.492	0.1913	
741	0.473	0.502	0.1913	
742	0.483	0.502	0.1913	
743	0.483	0.492	0.1910	
744	0.473	0.507	0.1907	
745	0.488	0.497	0.1913	
746	0.473	0.487	0.1907	
747	0.488	0.502	0.1907	
748	0.478	0.492	0.1907	
749	0.473	0.492	0.1907	
750	0.473	0.502	0.1907	
751	0.473	0.497	0.1903	
752	0.478	0.497	0.1903	
